step,loss,score,acc,lora_norm,checkpoint
-1,0,55.72681427001953,1.0,0,baseline
0,62.479576110839844,55.7222900390625,1.0,7.268982488196343,lora_step_0000.pt
50,59.3360710144043,54.280059814453125,1.0,8.942196756601334,
100,52.37901306152344,48.41322326660156,1.0,12.953982695937157,lora_step_0100.pt
150,45.9442253112793,38.81915283203125,1.0,18.0677592754364,
200,29.287553787231445,29.252229690551758,1.0,23.09575816988945,lora_step_0200.pt
250,23.912139892578125,21.60674285888672,1.0,27.33734953403473,
300,15.180644989013672,15.003345489501953,0.875,30.845134258270264,lora_step_0300.pt
350,8.884380340576172,8.726361274719238,0.5625,33.82817494869232,
400,4.967463493347168,3.9156811237335205,0.5,36.52317786216736,lora_step_0400.pt
450,1.2367042303085327,-0.6479435563087463,0.4375,39.038493514060974,
500,-4.661087989807129,-5.006475448608398,0.1875,41.58776539564133,lora_step_0500.pt
550,-12.011741638183594,-10.089731216430664,0.0625,44.14055037498474,
600,-21.271535873413086,-17.569612503051758,0.0,47.11401295661926,lora_step_0600.pt
650,-32.168270111083984,-28.158527374267578,0.0,50.606632590293884,
700,-46.05393600463867,-39.64057540893555,0.0,54.33082628250122,lora_step_0700.pt
750,-60.661033630371094,-58.4309196472168,0.0,58.48302376270294,
800,-90.39336395263672,-88.45332336425781,0.0,63.058839201927185,lora_step_0800.pt
850,-143.58602905273438,-134.3362274169922,0.0,67.95035660266876,
900,-217.03402709960938,-209.2178955078125,0.0,73.22395920753479,lora_step_0900.pt
950,-261.1830139160156,-259.16522216796875,0.0,76.68637990951538,
1000,-298.63446044921875,-291.46490478515625,0.0,78.95442736148834,lora_step_1000.pt
