step,loss,score,acc,lora_norm,checkpoint
-1,0,65.79410552978516,1.0,0,baseline
0,65.53191375732422,65.7914810180664,1.0,7.242305905325338,lora_step_0000.pt
50,62.64153289794922,65.35162353515625,1.0,7.7208292707800865,
100,62.68467330932617,63.76884460449219,1.0,8.818496085703373,lora_step_0100.pt
150,61.677146911621094,60.71098709106445,1.0,10.45473937690258,
200,49.33414077758789,56.49402618408203,1.0,12.437684580683708,lora_step_0200.pt
250,53.82376480102539,51.40961837768555,1.0,14.552718818187714,
300,38.648834228515625,45.50004196166992,1.0,16.755989342927933,lora_step_0300.pt
350,30.8499755859375,39.209999084472656,1.0,18.942173421382904,
400,39.299705505371094,33.309349060058594,1.0,20.994782656431198,lora_step_0400.pt
450,32.26729202270508,28.54237937927246,1.0,22.856373518705368,
500,31.190622329711914,24.72756576538086,0.9375,24.5163254737854,lora_step_0500.pt
550,19.913312911987305,21.58255958557129,0.9375,26.037879586219788,
600,16.739791870117188,18.75228500366211,0.9375,27.452211678028107,lora_step_0600.pt
650,22.368972778320312,16.154504776000977,0.875,28.740635871887207,
700,18.434280395507812,13.553321838378906,0.75,29.970069885253906,lora_step_0700.pt
750,9.751051902770996,11.195507049560547,0.6875,31.190168023109436,
800,12.202291488647461,9.123196601867676,0.625,32.26333850622177,lora_step_0800.pt
850,11.171631813049316,7.125307083129883,0.5625,33.298392832279205,
900,9.574919700622559,5.243350982666016,0.5625,34.3244269490242,lora_step_0900.pt
950,5.4612836837768555,3.58988094329834,0.5,35.26470071077347,
1000,2.5661520957946777,1.8529517650604248,0.4375,36.238476395606995,lora_step_1000.pt
