step,loss,score,acc,lora_norm,checkpoint
-1,0,76.27328491210938,1.0,0,baseline
0,69.87075805664062,76.26561737060547,1.0,10.249038209673017,lora_step_0000.pt
50,64.71450805664062,73.40347290039062,1.0,11.992797441780567,
100,57.88774490356445,61.199058532714844,1.0,16.46077010035515,lora_step_0100.pt
150,41.55850601196289,44.29222106933594,1.0,21.986285030841827,
200,21.95843505859375,29.03681755065918,1.0,26.854040324687958,lora_step_0200.pt
250,10.875341415405273,19.122943878173828,1.0,30.7295303940773,
300,1.8884847164154053,11.70337963104248,0.875,34.00222724676132,lora_step_0300.pt
350,1.7576656341552734,5.006117343902588,0.4375,36.85478895902634,
400,-3.2134528160095215,-0.892099916934967,0.4375,39.613883912563324,lora_step_0400.pt
450,-8.903592109680176,-7.915774822235107,0.1875,42.658153653144836,
500,-16.498071670532227,-15.983251571655273,0.0625,45.87436044216156,lora_step_0500.pt
550,-35.29842758178711,-23.549047470092773,0.0,49.457252860069275,
600,-47.98455047607422,-32.84010696411133,0.0,53.60421001911163,lora_step_0600.pt
650,-59.189788818359375,-51.13471221923828,0.0,58.68275558948517,
700,-110.15289306640625,-88.51045227050781,0.0,64.35748791694641,lora_step_0700.pt
750,-164.78285217285156,-155.33319091796875,0.0,70.4594795703888,
800,-234.7442169189453,-245.78298950195312,0.0,75.79633677005768,lora_step_0800.pt
850,-299.3291320800781,-293.90118408203125,0.0,78.50189411640167,
900,-319.4992370605469,-322.9129333496094,0.0,80.58644461631775,lora_step_0900.pt
950,-330.9577331542969,-349.59033203125,0.0,82.5317200422287,
1000,-361.0142822265625,-368.6102294921875,0.0,84.3543154001236,lora_step_1000.pt
