step,loss,score,acc,lora_norm,checkpoint
-1,0,60.89124298095703,1.0,0,baseline
0,69.74484252929688,60.88910675048828,1.0,7.245867984369397,lora_step_0000.pt
10,73.667236328125,60.85476303100586,1.0,7.337234478443861,
20,51.12792205810547,60.786155700683594,1.0,7.4371636267751455,
30,45.870059967041016,60.65829849243164,1.0,7.576584622263908,
40,65.76569366455078,60.441612243652344,1.0,7.771835535764694,
50,53.033287048339844,60.15479278564453,1.0,8.004208263009787,lora_step_0050.pt
60,79.6119155883789,59.764007568359375,1.0,8.299960173666477,
70,60.50925064086914,59.26386642456055,1.0,8.652557119727135,
80,56.958465576171875,58.648956298828125,1.0,9.057102628052235,
90,63.94194793701172,57.89570617675781,1.0,9.525309696793556,
100,68.77134704589844,57.032169342041016,1.0,10.029457613825798,lora_step_0100.pt
110,64.36181640625,56.11655044555664,1.0,10.554299890995026,
120,65.9856185913086,54.99519348144531,1.0,11.162121191620827,
130,58.93324279785156,53.697017669677734,1.0,11.79575976729393,
140,69.22268676757812,52.329322814941406,1.0,12.445049837231636,
150,36.37450408935547,50.913543701171875,1.0,13.103197634220123,lora_step_0150.pt
160,41.7517204284668,49.447853088378906,1.0,13.748794287443161,
170,29.459259033203125,47.87879943847656,1.0,14.398705184459686,
180,45.99351119995117,46.28270721435547,1.0,15.048432260751724,
190,37.84657669067383,44.74102020263672,1.0,15.682719320058823,
200,52.49736785888672,43.28129196166992,1.0,16.32078129053116,lora_step_0200.pt
210,43.18690490722656,41.741302490234375,1.0,16.9783096909523,
220,30.37114906311035,40.14183044433594,1.0,17.674900829792023,
230,28.804582595825195,38.58808898925781,1.0,18.342304319143295,
240,38.52030944824219,37.092308044433594,1.0,18.94722691178322,
250,56.81147003173828,35.469512939453125,1.0,19.58678251504898,lora_step_0250.pt
260,58.377403259277344,33.778785705566406,1.0,20.25219577550888,
270,22.44806671142578,32.355857849121094,1.0,20.849418997764587,
280,12.972196578979492,31.085372924804688,1.0,21.386581897735596,
290,32.40602111816406,29.77216339111328,1.0,21.93606263399124,
300,30.044391632080078,28.569684982299805,1.0,22.42919760942459,lora_step_0300.pt
310,20.075578689575195,27.457969665527344,0.9375,22.91678422689438,
320,21.686870574951172,26.324792861938477,0.9375,23.430498898029327,
330,24.972230911254883,25.263412475585938,0.9375,23.917486667633057,
340,16.329015731811523,24.237613677978516,0.9375,24.354773700237274,
350,8.124266624450684,23.271554946899414,0.9375,24.767368495464325,lora_step_0350.pt
360,10.833724021911621,22.294174194335938,0.9375,25.196873605251312,
370,36.30662155151367,21.372764587402344,0.875,25.590075254440308,
380,1.9447389841079712,20.507896423339844,0.875,25.969350337982178,
390,18.249814987182617,19.64069938659668,0.875,26.3504279255867,
400,13.255414962768555,18.703651428222656,0.8125,26.731592059135437,lora_step_0400.pt
410,25.896841049194336,17.850284576416016,0.8125,27.07746720314026,
420,17.90950584411621,16.961217880249023,0.8125,27.4315447807312,
430,6.528229713439941,16.004741668701172,0.8125,27.82027631998062,
440,0.8367156982421875,15.075372695922852,0.8125,28.19370460510254,
450,12.91075611114502,14.192856788635254,0.8125,28.54530155658722,lora_step_0450.pt
460,10.847574234008789,13.322735786437988,0.8125,28.89532434940338,
470,18.062780380249023,12.45028305053711,0.75,29.236470639705658,
480,3.9802451133728027,11.598406791687012,0.75,29.563012897968292,
490,15.797483444213867,10.724769592285156,0.75,29.885160982608795,
